search_method,total_indexing_time,avg_query_time,recall@k,ndcg@k,f1@k,precision,ret_k,algorithm,ef_construction,ef_runtime,m,distance_metric,vector_data_type,model,model_dim
bm25,0.60761,0.002573191196925869,0.13876565051164402,0.19139987408939327,0.13688879077136792,0.2815261192196177,6,flat,0,0,0,cosine,float32,text-embedding-3-small,1536
vector,0.60761,0.010808980132773196,0.18379377883908204,0.2426874282592604,0.15532990811997302,0.28761609907120744,6,flat,0,0,0,cosine,float32,text-embedding-3-small,1536
hybrid,0.60761,0.005384623081691494,0.18379377883908204,0.2401940188935519,0.15532990811997302,0.28761609907120744,6,flat,0,0,0,cosine,float32,text-embedding-3-small,1536
rerank,0.60761,0.17224916658903422,0.17233258955809067,0.22135667740518603,0.14483465808374898,0.26501547987616103,6,flat,0,0,0,cosine,float32,text-embedding-3-small,1536
weighted_rrf,0.60761,0.007815521937036662,0.17858555519062763,0.2354384484216833,0.1485569455264133,0.2702786377708979,6,flat,0,0,0,cosine,float32,text-embedding-3-small,1536
bm25,0.56115,0.001120929009405083,0.13876565051164402,0.19139987408939327,0.13688879077136792,0.2815261192196177,6,flat,0,0,0,cosine,float32,sentence-transformers/all-MiniLM-L6-v2,384
vector,0.56115,0.003715414749948602,0.15498797328057845,0.19658590204720824,0.13071176354799932,0.24334365325077406,6,flat,0,0,0,cosine,float32,sentence-transformers/all-MiniLM-L6-v2,384
hybrid,0.56115,0.0018216655719390964,0.15498797328057845,0.20277849135854045,0.13071176354799932,0.24334365325077406,6,flat,0,0,0,cosine,float32,sentence-transformers/all-MiniLM-L6-v2,384
rerank,0.56115,0.18426378297362903,0.16699695888083702,0.20336649491976658,0.1385378166323216,0.25386996904024767,6,flat,0,0,0,cosine,float32,sentence-transformers/all-MiniLM-L6-v2,384
weighted_rrf,0.56115,0.003125278573287161,0.16496361598197742,0.21232477198134114,0.13515625747793203,0.24458204334365324,6,flat,0,0,0,cosine,float32,sentence-transformers/all-MiniLM-L6-v2,384
bm25,0.66153,0.0012416249089196739,0.13876565051164402,0.19139987408939327,0.13688879077136792,0.2815261192196177,6,flat,0,0,0,cosine,float32,sentence-transformers/all-mpnet-base-v2,768
vector,0.66153,0.006048161917057569,0.1664609895911614,0.21009117095462768,0.13659280849866995,0.2529411764705883,6,flat,0,0,0,cosine,float32,sentence-transformers/all-mpnet-base-v2,768
hybrid,0.66153,0.0034556536482583627,0.16634632384182071,0.21405215590406595,0.1364254584861187,0.25263157894736843,6,flat,0,0,0,cosine,float32,sentence-transformers/all-mpnet-base-v2,768
rerank,0.66153,0.27032273841716187,0.1757145136032302,0.20972132430702511,0.14158008250465604,0.25386996904024767,6,flat,0,0,0,cosine,float32,sentence-transformers/all-mpnet-base-v2,768
weighted_rrf,0.66153,0.0068982806368139875,0.17375888414324409,0.2242561947266289,0.14320239060475895,0.25665634674922605,6,flat,0,0,0,cosine,float32,sentence-transformers/all-mpnet-base-v2,768
